time,stat_count,prcp_mean,prcp_std,prcp_min,prcp_25%,prcp_50%,prcp_75%,prcp_max,tmin_mean,tmin_std,tmin_min,tmin_25%,tmin_50%,tmin_75%,tmin_max,tmax_mean,tmax_std,tmax_min,tmax_25%,tmax_50%,tmax_75%,tmax_max,srad_mean,srad_std,srad_min,srad_25%,srad_50%,srad_75%,srad_max,swe_mean,swe_std,swe_min,swe_25%,swe_50%,swe_75%,swe_max,vp_mean,vp_std,vp_min,vp_25%,vp_50%,vp_75%,vp_max,id,year,state,stage,commodity,plan,colc,month,quantity,cpi_indemnity,per_indemnity
41.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.15168451801363,0.3006036580674047,-18.8,-18.37,-18.13,-17.86,-17.18,0.5198052580331062,0.24274895994663273,0.07,0.31,0.52,0.73,1.45,240.0955696202532,1.6278675528919526,226.48,239.175,240.24,241.14,242.87,16.324858812074,0.8968007109354121,13.06,15.795,16.21,16.63,18.92,146.4096981499513,3.739439894892174,138.44,143.66,146.59,150.04500000000002,158.93,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
42.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.524459591041868,1.044299654829505,-15.38,-14.47,-13.44,-12.51,-11.85,4.186981499513145,0.16607861946840988,3.69,4.12,4.23,4.3,4.58,235.26672833495618,3.054891103811341,221.04,233.47,235.83,237.42,240.51,16.324858812074,0.8968007109354121,13.06,15.795,16.21,16.63,18.92,216.01400194741967,18.35355046497983,184.76,199.275,216.73,233.76,246.65,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
43.0,1027.0,2.2511002921129504,0.3010123540655922,1.63,2.04,2.2,2.48,3.03,-5.812560856864654,1.722838155737207,-10.29,-6.925,-5.61,-4.395,-3.14,2.9993378773125605,1.0106977256085345,0.07,2.47,3.25,3.73,4.47,139.02325219084713,15.862337102105137,114.19,125.285,138.59,143.47500000000002,177.17,17.09493670886076,2.2323242616274976,13.93,15.344999999999999,15.88,18.905,21.75,398.9879162609542,51.01579303630965,279.37,363.58500000000004,402.17,441.045,484.46,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
44.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.32540408958131,0.21713334200297232,-22.76,-22.525,-22.29,-22.13,-21.72,-18.570399221032133,0.1575523562205899,-18.97,-18.65,-18.57,-18.5,-17.77,88.48161635832523,4.287788535275602,77.19,85.67500000000001,89.21,91.005,101.37,17.09493670886076,2.2323242616274976,13.93,15.344999999999999,15.88,18.905,21.75,101.90037974683544,1.9536890560620301,98.01,100.1,102.17,103.62,107.45,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
45.0,1027.0,3.530185004868549,0.47410864849119416,2.84,3.17,3.35,3.92,4.54,-24.153933787731255,0.18269774860833707,-24.66,-24.27,-24.13,-24.02,-23.78,-14.680068159688414,0.12865360366384548,-14.97,-14.77,-14.67,-14.57,-14.46,141.06481012658227,0.6428195672789431,136.93,140.66,141.1,141.54,142.4,20.625306718597855,2.6786267572148788,16.78,18.5,19.22,22.810000000000002,26.21,86.55589094449853,1.4172314869175417,82.65,85.64500000000001,86.74,87.60499999999999,89.47,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
46.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.856358325219087,0.1582050269183049,-22.25,-21.96,-21.87,-21.755000000000003,-21.43,-13.246845180136319,0.2263761863841554,-13.74,-13.43,-13.24,-13.05,-12.8,174.96119766309639,1.632264307896473,168.11,173.665,175.12,176.155,178.69,20.625306718597855,2.6786267572148788,16.78,18.5,19.22,22.810000000000002,26.21,106.19900681596884,1.4821810318124462,102.53,105.25,106.04,107.14500000000001,110.29,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
47.0,1027.0,8.39290165530672,2.4923489849995812,3.34,6.325,8.53,10.35,13.23,-21.21511197663096,0.20395710601554728,-21.75,-21.36,-21.22,-21.05,-20.78,-8.708286270691334,0.3477036669299121,-9.46,-9.004999999999999,-8.68,-8.41,-8.1,161.385988315482,1.1239937981781196,154.65,160.7,161.56,162.2,163.15,29.01786757546251,3.7450089762187906,22.11,25.845,28.52,32.24,39.2,112.36118792599805,2.0024589539639033,107.21,110.9,112.32,113.95,116.65,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
48.0,1027.0,3.704946445959105,0.400287995804658,2.23,3.44,3.72,4.02,4.42,-15.292989289191821,0.1336630531448574,-15.81,-15.35,-15.27,-15.21,-14.87,-5.902424537487828,0.22561128334195538,-6.41,-6.1,-5.84,-5.71,-5.54,137.90974683544303,1.856825755197019,131.34,136.53,138.0,139.2,141.74,32.72299902629016,4.080136851634906,24.34,29.345,32.26,36.14,43.62,186.14684518013632,2.0584776870998978,178.32,185.20499999999998,186.48,187.435,192.81,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
49.0,1027.0,5.600905550146056,0.4120008443545874,4.79,5.3,5.54,5.93,6.45,-13.77300876338851,0.8168626110088889,-15.89,-14.35,-13.75,-13.12,-12.31,-6.288081791626096,0.46323479234160936,-7.56,-6.5649999999999995,-6.18,-5.96,-5.57,116.44591041869523,5.025760619919289,106.52,112.305,116.86,121.11,126.08,38.32398247322298,3.982877070407409,29.98,34.71,37.83,41.81,49.09,211.40661148977608,14.014121616646005,177.12,201.20499999999998,211.45,222.485,237.57,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
50.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.235180136319375,0.0615796103914744,-24.52,-24.25,-24.23,-24.21,-23.78,-16.05869522882181,0.4606361094699201,-16.83,-16.49,-16.05,-15.66,-15.14,169.29747809152875,6.788848223592833,151.24,163.28,169.86,174.675,182.44,38.32398247322298,3.982877070407409,29.98,34.71,37.83,41.81,49.09,85.91583252190847,0.47522556785678655,83.76,85.76,85.92,86.11,89.48,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
51.0,1027.0,1.1498344693281402,0.952394577190865,0.0,0.0,1.85,1.95,2.23,-26.370866601752677,0.10261934394117064,-26.6,-26.45,-26.4,-26.29,-26.15,-11.809094449853943,0.20088754779727885,-12.26,-11.94,-11.8,-11.65,-11.43,220.3138753651412,21.18739970853906,166.75,227.18,229.28,230.44,232.12,39.47382667964947,3.770470581065353,31.78,36.24,38.5,42.935,49.09,70.74760467380722,0.6674034725874585,69.29,70.23,70.59,71.28,72.17,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
52.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.57966893865628,0.6209312689653276,-25.54,-25.13,-24.64,-24.1,-23.06,-4.686660175267771,0.22540940530762854,-5.19,-4.86,-4.66,-4.51,-4.23,242.34709834469328,2.4720199049354084,226.53,241.16,242.74,244.12,245.55,39.47382667964947,3.770470581065353,31.78,36.24,38.5,42.935,49.09,83.40422590068158,4.712705862804195,76.33,79.25,82.8,86.96,95.49,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
53.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.815404089581303,0.45919786332589163,-17.95,-17.15,-16.8,-16.47,-15.89,-11.340593962999026,0.4708589240911426,-12.22,-11.64,-11.42,-11.07,-10.14,118.42077896786758,16.24157191475054,86.14,107.04499999999999,116.56,128.745,157.22,39.47382667964947,3.770470581065353,31.78,36.24,38.5,42.935,49.09,164.0068451801363,6.324055822429801,148.84,159.37,164.05,168.77499999999998,177.18,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
54.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.82456669912366,0.20411288152059712,-21.28,-20.98,-20.84,-20.63,-20.49,0.0181012658227848,0.3360836789371197,-0.82,-0.21,0.05,0.3,0.55,243.2320934761441,2.11493335095293,228.1,242.115,243.61,244.68,246.43,39.47382667964947,3.770470581065353,31.78,36.24,38.5,42.935,49.09,116.26307692307694,2.0677361119301465,111.71,114.68,116.04,118.235,119.66,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
55.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.844907497565726,1.0250718922214608,-14.74,-13.54,-13.04,-12.245000000000001,-9.88,4.746241480038948,0.4264170186499352,3.79,4.4350000000000005,4.79,5.14,5.39,233.78444985394353,5.5516032635162995,210.97,231.3,235.31,237.86,241.18,39.47382667964947,3.770470581065353,31.78,36.24,38.5,42.935,49.09,228.28771178188902,19.46504789098477,194.91,215.02,224.03,238.865,288.63,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
56.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.305540408958132,0.587237374482676,-9.59,-8.77,-8.25,-7.77,-7.39,-3.13188899707887,0.4599253428543328,-4.13,-3.52,-3.09,-2.81,-1.69,109.53310613437196,19.860095571094636,72.49,92.06,109.31,125.375,149.5,39.47382667964947,3.770470581065353,31.78,36.24,38.5,42.935,49.09,326.9538364167478,14.869570438773398,295.22,315.01,328.19,340.47,350.73,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
57.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.114138266796495,0.2787522888936782,-14.9,-14.3,-14.08,-13.9,-13.6,1.814800389483934,0.07216529974425087,1.66,1.77,1.82,1.87,2.07,231.22466407010708,1.0100059633044332,221.01,230.85,231.27,231.785,233.56,39.47382667964947,3.770470581065353,31.78,36.24,38.5,42.935,49.09,205.21140214216166,4.671073815054457,192.34,202.08,205.8,208.865,213.94,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
58.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.704186952288218,0.4698664279787204,-12.84,-12.04,-11.71,-11.3,-10.89,2.197643622200584,0.11501799827682468,1.78,2.15,2.22,2.27,2.69,220.19913339824734,1.698455418232586,211.66,218.84,220.14,221.77,223.49,39.47382667964947,3.770470581065353,31.78,36.24,38.5,42.935,49.09,249.70671859785784,9.406842116147349,227.64,242.92000000000002,249.39,257.735,266.39,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
59.0,1027.0,0.6067088607594936,0.17474703507195646,0.28,0.47,0.58,0.74,1.08,-10.21678675754625,0.5685246426481009,-11.93,-10.54,-10.07,-9.765,-9.33,-4.52491723466407,0.3636037246533911,-5.39,-4.83,-4.48,-4.2,-3.91,118.77654333008763,14.856054870149576,98.08,104.88,115.26,131.36,149.42,40.08074001947419,3.8409974791808064,32.24,36.77,39.06,43.695,49.68,281.28312560856864,12.476558435581824,245.12,273.935,284.28,291.265,301.53,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
59.0,1027.0,0.6067088607594936,0.17474703507195646,0.28,0.47,0.58,0.74,1.08,-10.21678675754625,0.5685246426481009,-11.93,-10.54,-10.07,-9.765,-9.33,-4.52491723466407,0.3636037246533911,-5.39,-4.83,-4.48,-4.2,-3.91,118.77654333008763,14.856054870149576,98.08,104.88,115.26,131.36,149.42,40.08074001947419,3.8409974791808064,32.24,36.77,39.06,43.695,49.68,281.28312560856864,12.476558435581824,245.12,273.935,284.28,291.265,301.53,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
