time,stat_count,prcp_mean,prcp_std,prcp_min,prcp_25%,prcp_50%,prcp_75%,prcp_max,tmin_mean,tmin_std,tmin_min,tmin_25%,tmin_50%,tmin_75%,tmin_max,tmax_mean,tmax_std,tmax_min,tmax_25%,tmax_50%,tmax_75%,tmax_max,srad_mean,srad_std,srad_min,srad_25%,srad_50%,srad_75%,srad_max,swe_mean,swe_std,swe_min,swe_25%,swe_50%,swe_75%,swe_max,vp_mean,vp_std,vp_min,vp_25%,vp_50%,vp_75%,vp_max,id,year,state,stage,commodity,plan,colc,month,quantity,cpi_indemnity,per_indemnity
11.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7270107108081793,0.33273150770621274,-1.73,-0.985,-0.56,-0.47,0.21,4.088812074001948,0.1545109581530032,3.7,3.96,4.11,4.22,4.68,117.08440116845179,14.380785687336632,94.78,102.64,116.35,129.41500000000002,145.61,2.8497273612463485,3.3106630437335896,0.0,0.0,0.0,6.29,8.74,579.3074196689387,13.973437843557361,537.92,568.31,586.21,590.17,619.88,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
12.0,1027.0,5.728967867575462,1.134067145450174,2.44,4.93,5.9,6.585,7.75,0.6693281402142163,0.11213955215990289,0.39,0.59,0.68,0.75,1.37,7.2761148977604675,0.10367326863609679,6.84,7.25,7.28,7.32,7.92,114.54594936708861,6.154054128122268,105.21,109.465,111.03,121.32,124.32,1.630282375851996,1.9542298349149063,0.0,0.0,0.0,3.46,6.03,641.0918403115871,5.210187522283604,628.25,637.39,641.64,644.685,674.4,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
13.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1309737098344692,0.25248825323488605,0.32,0.97,1.18,1.33,1.57,5.783924050632912,0.2533019488022294,5.04,5.61,5.83,5.97,6.19,110.74308666017527,5.0492236597873905,104.33,106.58,108.62,117.005,120.19,0.3440311587147031,0.6305966658440308,0.0,0.0,0.0,0.455,2.91,662.8843330087634,11.98982104910585,625.18,655.0799999999999,665.16,672.27,684.02,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
14.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8142064264849076,0.27439784906007575,-2.35,-2.09,-1.75,-1.57,-1.02,2.12491723466407,0.14128851478545346,1.7,2.04,2.15,2.22,2.7,95.18080817916261,6.900412510567422,83.91,89.225,95.06,99.305,115.43,0.029474196689386563,0.14503382702222883,0.0,0.0,0.0,0.0,1.31,534.778558909445,10.811852237171347,513.92,524.02,537.23,544.215,566.77,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
15.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.173213242453748,0.15074472794049684,-4.57,-4.27,-4.15,-4.06,-3.33,2.0008958130477117,0.21118429599118058,1.47,1.87,2.03,2.16,2.39,142.47170399221034,6.637876380595519,128.75,137.775,142.6,147.26,157.78,0.0034469328140214212,0.03462128521164415,0.0,0.0,0.0,0.0,0.51,448.4494060370009,5.094996507648064,435.36,445.19500000000005,449.35,452.16,477.83,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
16.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.353651411879261,0.2610822564723443,-4.97,-4.59,-4.29,-4.125,-3.5,0.4532229795520935,0.14373475658709878,0.03,0.36,0.52,0.55,0.79,115.96347614410905,7.713255235352805,100.54,109.11,116.64,122.82,142.2,1.9474196689386563e-05,0.00044108067278967136,0.0,0.0,0.0,0.0,0.01,442.4383252190847,8.700097528042052,422.23,434.515,444.37,450.06,471.51,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
17.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.52076923076923,0.17570379865358232,-9.86,-9.66,-9.52,-9.39,-8.5,0.7708471275559883,0.3086816635220865,0.13,0.515,0.79,1.04,1.52,209.5359980525803,3.399127289096656,198.72,207.45,209.43,211.82,238.92,1.9474196689386563e-05,0.00044108067278967136,0.0,0.0,0.0,0.0,0.01,296.96243427458614,4.134522762543439,288.99,293.78499999999997,296.98,299.905,321.61,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
18.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.911110029211295,0.36642646912782517,-7.61,-7.175,-6.98,-6.695,-5.5,1.139201557935735,0.08504066953613003,1.02,1.08,1.13,1.19,1.86,178.22092502434276,6.701532470083949,161.56,174.32,179.28,182.68,201.3,1.9474196689386563e-05,0.00044108067278967136,0.0,0.0,0.0,0.0,0.01,364.0963485881207,10.359182985727175,344.74,356.65999999999997,362.14,370.01,405.41,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
19.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.051966893865628,0.4082249251897668,-6.0,-5.41,-4.93,-4.68,-4.33,-2.3433203505355404,0.130790733574519,-2.72,-2.43,-2.34,-2.26,-1.75,71.14932814021422,7.937464772460503,59.74,63.855000000000004,70.08,79.08,87.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.77046738072056,12.905048401508614,390.35,408.29499999999996,423.64,431.515,442.99,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
20.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.583115871470302,0.3199415596174754,-15.2,-14.81,-14.65,-14.36,-13.3,-2.8710710808179165,0.22513981320148999,-3.39,-3.01,-2.85,-2.75,-1.98,220.66388510223956,2.9768743171716086,209.78,218.89999999999998,221.36,222.755,225.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.4589776046738,5.242060963468674,187.57,193.735,196.38,200.98,219.32,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
